Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Applicant_per_position
BIM Architect,Full Time,on-site,ALARRAB ENGINEERING CONSULTANCY,Giza,27,49.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['architecture', 'architectural engineering', 'architecture design', 'bim modeling', 'revit mep', 'revit architecture', 'building information modeling', 'engineering', 'revit']",both,802,3.0,10.0,Sheikh Zayed,24.0
BIM Architect,Full Time,on-site,CSCEC Egypt,cairo,22,40.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['building information modeling', 'bim architect', 'architecture', 'design', 'engineering', 'revit']",both,802,6.0,10.0,New Capital,40.0
BIM Architect,Full Time,on-site,Ava creative solutions,cairo,12,30.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, According To Revit Test",Engineering - Construction/Civil/Architecture,"['architecture', 'autocad', 'building information modeling', 'revit architecture', 'english', 'revit', 'drawings', 'working drawings']",both,802,2.0,5.0,Heliopolis,30.0
BIM Architect,Full Time,on-site,MIG - Masrya International Group for engineering & contracting S.A.E,cairo,56,51.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['engineering', 'revit', 'architecture', 'building information modeling']",both,802,2.0,4.0,New Cairo,51.0
BIM Architect,Full Time,on-site,Vasimos Design and Engineering Centre,cairo,56,87.0,1,Experienced (Non-Manager),Not Specified,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,"['architecture', 'building information modeling', 'revit', 'design', 'engineering', 'autocad']",both,802,3.0,7.0,New Cairo,87.0
BIM Architectural Engineer ( Junior ),Full Time,on-site,Protection,Giza,18,22.0,4,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['architectural', 'architectural engineering', 'autocad', 'architecture', 'autodesk', 'revit', 'building information modeling', 'engineering', 'design', 'software']",Males Preferred,802,2.0,5.0,Sheikh Zayed,5.0
BIM Architecture Engineer,Full Time,on-site,Mobco Civil Construction,cairo,56,46.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['architecture', 'autocad', 'revit', 'drawings', 'shop drawings', 'computer-aided design', 'building information modeling', 'naviswork', 'engineering', 'autodesk']",both,802,2.0,7.0,Nasr City,46.0
BIM Coordinator,Full Time,on-site,Vital Konzept,cairo,56,59.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['building information modeling', 'architecture', 'coordination', 'engineering', 'revit', 'navisworks']",both,802,4.0,,Maadi,59.0
BIM Coordinator,Full Time,on-site,EHAF Consulting Engineers,Giza,28,52.0,3,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['building information modeling', 'architecture', 'engineering', 'coordination', 'revit']",both,802,5.0,7.0,Mohandessin,17.0
BIM Coordinator ( Architect / Mechanical),Full Time,on-site,Raafat Miller Consulting,Giza,27,18.0,4,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['architecture', 'building information modeling', 'revit', 'mechanical engineering']",both,802,11.0,,Giza,4.0
BIM Coordinator - Architecture,Full Time,on-site,Vasimos Design and Engineering Centre,cairo,56,26.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,"['building information modeling', 'revit', 'autocad', 'architecture', 'engineering', 'coordination', 'design']",both,802,7.0,10.0,New Cairo,26.0
BIM Coordinator - Interior,Full Time,on-site,Vasimos Design and Engineering Centre,cairo,56,14.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,"['interior design', 'building information modeling', 'revit', 'engineering', 'design']",both,802,7.0,,Cairo,14.0
BIM Coordinator - MEP,Full Time,on-site,Vasimos Design and Engineering Centre,cairo,56,26.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,"['building information modeling', 'revit', 'design', 'electrical engineering', 'mechanical engineering', 'mep engineering']",both,802,7.0,,New Cairo,26.0
BIM Coordinator - Structure,Full Time,on-site,Vasimos Design and Engineering Centre,cairo,56,60.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,"['structural engineering', 'building information modeling', 'revit', 'design', 'engineering']",both,802,4.0,7.0,New Cairo,60.0
BIM Interior Design Engineer,Full Time,on-site,Vasimos Design and Engineering Centre,cairo,56,37.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,"['interior design', 'building information modeling', 'revit', 'design', 'interior', 'engineering', 'architecture', 'autocad', 'communication', 'english']",both,802,3.0,7.0,New Cairo,37.0
BIM Modeler,Full Time,on-site,Not Specified,cairo,56,35.0,5,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['building information modeling', 'engineering', 'revit mep', 'mep engineering', 'mep design', 'mep systems', 'consulting']",both,802,2.0,5.0,Manial,7.0
BIM TECHNICAL MANAGER - ARCHITECTURAL AND INTERIOR,Full Time,on-site,Riwaq,cairo,56,9.0,1,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['building information modeling', 'architecture', 'interior design', 'revit', 'design', 'autocad']",both,802,6.0,8.0,Zamalek,9.0
BIM Team Leader Architect,Full Time,on-site,Ava creative solutions,cairo,12,5.0,1,Manager,Bachelor'S Degree,"Confidential, According To Revit Test",Engineering - Construction/Civil/Architecture,"['architecture', 'autocad', 'building information modeling', 'revit architecture', 'english']",both,802,6.0,11.0,Heliopolis,5.0
BIM Team Leader Architect (Working Drawing),Full Time,on-site,Ava creative solutions,cairo,13,10.0,2,Manager,Bachelor'S Degree,"Confidential, According To Revit Test",Engineering - Construction/Civil/Architecture,"['architecture', 'autocad', 'building information modeling', 'revit architecture', 'information technology (it)', 'english', 'engineering']",both,802,6.0,10.0,Heliopolis,5.0
Business Analyst,Full Time,on-site,Reliance Group,cairo,56,51.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['analyst', 'business analysis']",both,802,3.0,,New Cairo,51.0
Business Development Engineer,Full Time,on-site,Protection,Giza,56,13.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['business', 'business development', 'development', 'marketing', 'project professional', 'engineering', 'contracting', 'construction engineering', 'mba']",both,802,2.0,5.0,Sheikh Zayed,13.0
Business Development Engineer,Full Time,on-site,Not Specified,Giza,28,12.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['business development', 'business', 'development', 'negotiation']",both,802,3.0,7.0,Mohandessin,12.0
Business Development Engineer,Full Time,on-site,Acacia for engineering services,cairo,3,7.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['business development', 'architecture', 'engineering']",both,802,2.0,4.0,New Cairo,7.0
Business Development Engineer,Full Time,on-site,REDCON Construction Co. S.A.E,cairo,3,19.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Monthly Bonus",Engineering - Construction/Civil/Architecture,"['business development', 'sales engineering']",both,802,2.0,4.0,New Cairo,19.0
Business Development Engineer,Full Time,on-site,ADC-Architecture&Design Consultants,Giza,28,19.0,1,Experienced (Non-Manager),Not Specified,15000 To 30000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['business development', 'sales', 'engineering']",both,802,3.0,8.0,Sheikh Zayed,19.0
Business Development Engineer/Manager,Full Time,on-site,Core Construction and Finishing Egypt,cairo,56,48.0,1,Manager,Bachelor'S Degree,"Confidential, Additional Project Based Commission",Engineering - Construction/Civil/Architecture,"['business development', 'development', 'sales']",both,802,5.0,10.0,Heliopolis,48.0
Business Development Head - Construction,Full Time,on-site,Not Specified,cairo,2,68.0,1,Manager,Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['architecture', 'business development', 'engineering', 'project professional', 'project']",Males Preferred,802,10.0,12.0,Heliopolis,68.0
Business Development Manager,Full Time,on-site,Trustcom,cairo,2,26.0,1,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['business development', 'engineering']",both,802,6.0,10.0,New Cairo,26.0
Business development and marketing specialist,Full Time,on-site,Not Specified,cairo,56,25.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['business development', 'development', 'marketing', 'sales', 'business']",both,802,2.0,4.0,New Cairo,12.0
CNC Operator Machinist,Full Time,on-site,YONI Furniture,cairo,56,51.0,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6000 To 10000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['artcam', 'cnc', 'autocad', 'manufacturing', 'production', 'software', 'engineering', 'production engineering', 'furniture', 'furniture design', 'product design', 'interior design', 'wood works', 'furniture production', 'furniture manufacturing', 'cnc machining', 'cnc programming', 'cnc machines']",both,802,1.0,3.0,Heliopolis,25.0
Calibration Engineer,Full Time,on-site,Pyramids For Calibration Services,cairo,27,42.0,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['agriculture', 'science', 'calibration', 'engineering', 'mechanical engineering']",Male,802,0.0,3.0,Nasr City,21.0
Chemical Sales Engineer,Full Time,on-site,metco,Giza,10,28.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['chemical engineering', 'engineering', 'sales', 'sales', 'communication', 'chemical', 'chemistry', 'computer', 'english', 'products', 'sales target']",both,802,2.0,3.0,6th of October,14.0
Chief Accountant,Full Time,on-site,Not Specified,cairo,28,140.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['finance', 'accounting']",both,802,10.0,20.0,New Cairo,140.0
Civil Engineer,Full Time,on-site,SAAB Engineering Consulating Office,Giza,23,74.0,2,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['autocad', 'civil engineering', 'design', 'communication', 'site', 'engineering', 'civil', 'civil 3d', 'construction', '3d']",both,802,3.0,5.0,Agouza,37.0
Civil Engineer,Full Time,on-site,ContrackFM,Giza,56,21.0,2,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['communication', 'autocad', 'civil 3d', 'civil engineering', 'construction', 'engineering', 'design', 'civil', 'architecture', '3d', 'site']",both,802,1.0,3.0,Giza,10.0
Civil Engineer,Full Time,on-site,Not Specified,Giza,56,114.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['civil engineering', 'engineering', 'civil', 'computer-aided design', 'construction', 'design', 'planning']",Male,802,5.0,10.0,6th of October,114.0
Civil Engineer,Full Time,on-site,Not Specified,,28,234.0,2,Experienced (Non-Manager),Bachelor'S Degree,2000 To 5000 AED Per Month,Engineering - Construction/Civil/Architecture,"['estimator', 'quantity survey', 'sigange', 'architecture', 'architectural engineering', 'autocad architecture', 'architecture design']",both,802,2.0,,,117.0
Civil Engineer,Full Time,on-site,Not Specified,Giza,56,82.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['civil engineer', 'construction']",Male,802,2.0,5.0,6th of October,82.0
Civil Engineer,Full Time,on-site,Style Home Development,cairo,28,38.0,1,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['autocad', 'microsoft', 'communication', 'site']",both,802,3.0,5.0,New Cairo,38.0
Civil Engineer,Full Time,on-site,AHS Group,Giza,20,79.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['autocad', 'civil', 'civil engineering', 'construction', 'engineering', 'site', 'design']",both,802,5.0,,6th of October,79.0
Civil Engineer,Full Time,on-site,International Business Systems I.B.S.,cairo,12,63.0,1,Experienced (Non-Manager),Not Specified,20000 To 25000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['civil engineering', 'construction', 'engineering', 'autocad', '3d', 'civil']",both,802,10.0,15.0,New Cairo,63.0
Civil Engineer,Full Time,on-site,International Business Systems I.B.S.,cairo,11,62.0,1,Experienced (Non-Manager),Not Specified,20000 To 25000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['civil engineering', 'construction', 'engineering', 'autocad', '3d', 'civil']",both,802,10.0,15.0,New Cairo,62.0
Civil Engineer,Full Time,on-site,Egypt Foods,"Monufya, Egypt",56,72.0,2,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['civil engineering', 'civil', 'engineering', 'menofia', 'sadat']",Male,802,3.0,7.0,Monufya,36.0
Civil Engineer,Full Time,on-site,ابو الطيب للمقاولات والتوريدات,cairo,23,85.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6500 To 9000 EGP Per Month,Engineering - Construction/Civil/Architecture,"['icdl', 'autocad', 'civil engineering', 'civil', 'construction', 'engineering', 'excel', 'wood']",both,802,1.0,7.0,Cairo,85.0
Civil Engineer,Full Time,on-site,Monaqasat,"Doha, Qatar",10,111.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'civil', 'engineering', 'etabs', 'structural engineering']",both,802,5.0,,Doha,111.0
Civil Engineer,Full Time,on-site,EGMED,cairo,56,143.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'autocad', 'engineering', 'drawing']",both,802,3.0,5.0,Cairo,143.0
Civil Pre-Sales Engineer,Full Time,on-site,Floortec,Giza,20,21.0,2,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['building materials', 'pre-sales', 'civil engineering', 'sales', 'chemicals', 'civil', 'communication', 'engineering', 'sales', 'sales', 'specification', 'specs', 'consultant', 'construction']",both,802,2.0,5.0,6th of October,10.0
Civil Project Engineer,Full Time,on-site,alfanar,cairo,12,64.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['computer-aided design', 'civil engineering', 'communication', 'construction', 'revit', 'project', 'substations', 'concrete', 'finishing', 'civil', 'engineering', 'project']",Males Preferred,802,5.0,7.0,Sheraton,64.0
Civil QC Engineer,Full Time,on-site,El Mansour Development,cairo,56,107.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'civil engineering', 'qc engineer', 'qc', 'site', 'construction']",both,802,5.0,7.0,Mokattam,107.0
Civil Site Engineer,Full Time,on-site,Kandeel Group,cairo,6,173.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'civil engineering', 'construction', 'project', 'site', 'project']",both,802,4.0,6.0,New Cairo,173.0
Civil Site Engineer,Full Time,on-site,ARCOM Developments,Giza,18,277.0,3,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['architecture', 'civil', 'autocad', '3d', 'civil 3d', 'civil engineering', 'communication', 'construction', 'design', 'engineering', 'site']",Male,802,3.0,,Giza,92.0
Civil Site Engineer,Full Time,on-site,Roaia,cairo,28,402.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'engineering', 'microsoft', 'computer', 'civil', 'construction', 'site', 'english', 'excel']",both,802,5.0,7.0,Cairo,402.0
Civil Site Engineer,Full Time,on-site,Eamar Al Delta,cairo,28,475.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['autocad', 'civil', 'civil engineering', 'construction', 'engineering', 'site']",Male,802,3.0,8.0,New Cairo,475.0
Civil Site Engineer,Full Time,on-site,HAZ Design,cairo,5,160.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, • Commission Based On Project Completion . • Annual Performance Bonus . • Overtime Pay .",Engineering - Construction/Civil/Architecture,"['interior finishing', 'civil', 'civil engineering', 'engineer', 'engineering', 'architecture', 'site engineer', 'site', 'civil site', 'planning', 'primavera', 'project', 'finishing works', 'construction']",both,802,2.0,7.0,New Cairo,160.0
Civil Site Engineer,Full Time,on-site,HAZ Design,cairo,5,157.0,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, • Commission Based On Project Completion . • Annual Performance Bonus . • Overtime Pay .",Engineering - Construction/Civil/Architecture,"['interior finishing', 'civil', 'civil engineering', 'engineer', 'engineering', 'architecture', 'site engineer', 'site', 'civil site', 'planning', 'primavera', 'project', 'finishing works', 'construction']",both,802,2.0,7.0,New Cairo,157.0
Civil Site Engineer,Full Time,on-site,SAYIN EGYPT CONSTRUCTION AND CONTRACTING LLC,Matruh,56,45.0,1,Manager,Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['architecture', 'civil engineering', 'project', 'construction', 'engineering', 'english']",Males Preferred,802,20.0,,Dabaa,45.0
Civil Site Engineer,Full Time,on-site,Magdy saad elsayed khalil - and partener,Dakahlia,28,167.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'construction', 'architecture', 'engineering', 'finishing', '3d', 'autocad', 'civil', 'civil 3d', 'communication', 'design', 'site']",both,802,2.0,5.0,Aga,167.0
Civil Site Engineer,Full Time,on-site,Not Specified,Alexandria,56,136.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['construction', 'civil engineering', 'engineering', 'site', 'civil 3d', 'autocad']",Male,802,3.0,5.0,Sidi Gaber,136.0
Civil Site Engineer,Full Time,on-site,Qawafil For Real Estate Investment,cairo,4,154.0,2,Experienced (Non-Manager),Not Specified,"Confidential, Annual Bonus",Engineering - Construction/Civil/Architecture,"['civil engineering', 'construction', 'engineering', 'site', 'communication', 'civil', 'architecture', 'design']",both,802,1.0,3.0,New Cairo,77.0
Civil Site Engineer,Full Time,on-site,AL SALMANYA,cairo,56,357.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'drawings', 'construction', 'site']",both,802,5.0,7.0,Cairo,357.0
Civil Technical Engineer,Full Time,on-site,Experts,Alexandria,6,25.0,2,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['architecture', 'civil engineering', 'construction', 'engineering', 'shop drawings']",Male,802,4.0,6.0,North Coast,12.0
Civil Technical Office Engineer,Full Time,on-site,Solik Real Estate Investment,cairo,56,409.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['construction', 'engineering', 'autocad', 'microsoft', 'primavera', 'civil', 'civil engineering']",both,802,3.0,5.0,Nasr City,409.0
Civil Technical Office Engineer,Full Time,on-site,SEG,cairo,13,114.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['autocad', 'civil', 'civil engineering', 'communication', 'construction', 'design', 'engineering', 'microsoft', 'primavera', 'sap']",both,802,8.0,10.0,Cairo,114.0
Civil Technical Office Engineer,Full Time,on-site,Palmier Developments,Giza,6,68.0,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'autocad', 'engineering', 'revit', 'microsoft', 'construction', 'civil engineering', 'real estate', 'layout', 'design', 'microsoft']",both,802,1.0,3.0,Sheikh Zayed,68.0
Civil Technical Office Engineer,Full Time,on-site,Royal for Real Estate Development,cairo,20,139.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'civil engineering', 'engineer']",both,802,2.0,6.0,New Cairo,139.0
Civil Technical Office Engineer,Full Time,on-site,System Technique,Giza,28,84.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['microsoft', 'project', 'autocad', 'civil', 'civil engineering', 'project']",both,802,3.0,5.0,Abu Rawash,84.0
Civil Technical Office Engineer,Full Time,on-site,Major for Construction and Decoration,Giza,56,94.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['architecture', 'engineering', 'construction', 'autocad', 'architectural engineering', 'engineering']",both,802,5.0,10.0,6th of October,47.0
Civil Technical Office Engineer,Full Time,on-site,Sinoma-cdi,cairo,24,125.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'autocad', 'civil engineering', 'engineering', 'english', 'microsoft', 'drawings', 'revit', 'asd']",both,802,3.0,5.0,New Cairo,125.0
Civil Technical Office Engineer,Full Time,on-site,Master Link For Construction,cairo,20,98.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['autocad', 'civil', 'civil engineering', 'engineering', 'english', 'microsoft', 'design', 'to']",both,802,5.0,7.0,New Capital,98.0
Civil Technical Office Engineer,Full Time,on-site,Rekaz Construction,cairo,28,101.0,3,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, * Medical Insurance * Commission And Bonuses",Engineering - Construction/Civil/Architecture,"['autocad', 'engineering', 'civil engineering', 'shop drawings', 'site', 'engineering', 'civil', 'civil 3d', 'communication']",both,802,3.0,7.0,Maadi,33.0
Civil Technical Office Engineer,Full Time,on-site,Spectrum Engineering,Giza,28,107.0,1,Experienced (Non-Manager),Not Specified,"Confidential, Two Time Bonus",Engineering - Construction/Civil/Architecture,"['engineer', 'microsoft', 'revit', 'english', 'autocad', 'autocad 2d', 'construction']",both,802,3.0,7.0,6th of October,107.0
Civil Technical Office Engineer (Cairo resident),Full Time,on-site,BuildIn,cairo,18,137.0,2,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['architecture', 'design', 'engineering', 'autocad', 'drawings', 'civil', 'civil engineering', 'english']",both,802,2.0,5.0,Heliopolis,68.0
Civil Technical Office Engineer Infrastructure,Full Time,on-site,Al-Alama Contracting & Supplies,Giza,10,53.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'design', 'engineering', 'infrastructure']",both,802,10.0,12.0,6th of October,53.0
Civil Technical Office Engineer Infrastructure,Full Time,on-site,Al-Alama Contracting & Supplies,Giza,9,53.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'design', 'engineering', 'infrastructure']",both,802,10.0,12.0,6th of October,53.0
Civil Technical Office Manager,Full Time,on-site,Major for Construction and Decoration,Giza,28,67.0,2,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['autocad', 'civil', 'civil engineering', 'architecture', 'quantity surveying', 'engineering']",both,802,12.0,16.0,6th of October,33.0
Civil Tender & Cost Estimation Engineer,Full Time,on-site,Al-Alama Contracting & Supplies,Giza,28,65.0,1,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['tendering', 'cost estimation', 'construction', 'civil engineering', 'civil']",Male,802,10.0,13.0,6th of October,65.0
Civil Tender Engineer,Full Time,on-site,MODAD,Giza,28,72.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['architecture', 'civil engineering', 'construction', 'cost estimation', 'engineering', 'tendering', 'civil', 'estimation', 'fit out']",both,802,3.0,5.0,Mohandessin,72.0
Civil technical office engineer,Full Time,on-site,Leaders Construction,cairo,28,64.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['autocad', 'civil engineering', 'primavera', 'revit']",both,802,6.0,8.0,Cairo,64.0
Commercial (Quantity Surverying) Manager,Full Time,on-site,Modern Interiors Design – Construction,Giza,56,52.0,1,Manager,Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['autocad', 'construction', 'engineering', 'quantity surveying']",Males Preferred,802,10.0,15.0,Agouza,52.0
Commercial Engineer,Full Time,on-site,Egyptian Contracting Centre,Giza,5,12.0,1,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'civil engineering', 'architecture', 'commercial', 'communication', 'cost', 'engineering', 'projects', 'budgeting']",both,802,3.0,6.0,Mohandessin,12.0
Commercial Manager,Full Time,on-site,Arab Mechanical Engineers,cairo,8,26.0,1,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,"Confidential, Quarterly Commission",Engineering - Construction/Civil/Architecture,"['engineering', 'commercial', 'sales forecasting', 'leadership', 'business analytics', 'business development', 'export sales', 'marketing', 'logistics', 'business development', 'sales', 'customer satisfaction', 'client relationships', 'mba']",both,802,10.0,15.0,Nasr City,26.0
Commercial Manager,Full Time,on-site,Arab Mechanical Engineers,cairo,8,25.0,1,"Senior Management (CEO, GM, Director, Head)",Bachelor'S Degree,"Confidential, Quarterly Commission",Engineering - Construction/Civil/Architecture,"['engineering', 'commercial', 'sales forecasting', 'leadership', 'business analytics', 'business development', 'export sales', 'marketing', 'logistics', 'business development', 'sales', 'customer satisfaction', 'client relationships', 'mba']",both,802,10.0,15.0,Nasr City,25.0
Concrete Design Engineer,Full Time,on-site,Raafat Miller Consulting,Giza,25,18.0,3,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['concrete', 'autocad', 'etabs', 'sap']",both,802,2.0,5.0,Dokki,6.0
Construction Civil Engineer,Full Time,on-site,Contra PMC,Giza,10,92.0,3,Experienced (Non-Manager),Bachelor'S Degree,,Engineering - Construction/Civil/Architecture,"['civil engineering', 'construction', 'engineering']",Males Preferred,802,2.0,5.0,Giza,30.0
Construction Engineer,Full Time,on-site,Al-Amal Al-sharif For Plastic,cairo,56,46.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'autocad', 'civil engineering', 'construction']",both,802,3.0,5.0,10th of Ramadan City,46.0
Construction Manager,Full Time,on-site,CUD,cairo,3,45.0,2,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['engineering', 'engineer']",both,802,10.0,15.0,New Capital,22.0
Construction Manager,Full Time,on-site,DME Holding,cairo,56,327.0,1,Manager,Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['civil engineering', 'engineering', 'civil', 'project', 'construction engineering', 'construction', 'construction', 'residential projects', 'project professional']",both,802,12.0,15.0,New Cairo,327.0
Construction Manager,Full Time,on-site,Artal Egypt,cairo,28,292.0,1,Manager,Not Specified,Confidential,Engineering - Construction/Civil/Architecture,"['civil', 'architecture', 'civil engineering', 'construction', 'construction', 'engineering', 'project']",both,802,8.0,12.0,New Cairo,292.0
Construction Manager (Civil/Mechanical Engineer),Full Time,on-site,Not Specified,cairo,56,335.0,15,Manager,Bachelor'S Degree,Confidential,Engineering - Construction/Civil/Architecture,"['construction manager', 'construction', 'civil engineer', 'civil engineering', 'engineering', 'architecture', 'construction', 'project']",both,802,15.0,20.0,New Cairo,22.0
Construction Manager - Architecture,Full Time,on-site,REDCON Construction Co. S.A.E,Matruh,16,51.0,1,Manager,Bachelor'S Degree,"Confidential, Bonus",Engineering - Construction/Civil/Architecture,"['pump stations', 'project', 'construction', 'drainage', 'dewatering', 'architectural engineering']",both,802,10.0,15.0,North Coast,51.0
